claim_id,file_path,term,applied_meaning,terminology_path
G00467,src/data/graduations/6th-kyu.nl.json,Budo,De 'weg van de krijger' als levensstijl/filosofie.,terminology.sections.general-terms-content.terms.budo
G00595,src/data/graduations/8th-kyu.json,Kata,"Form, pattern",terminology.sections.training-content.terms.kata
G00597,src/data/graduations/8th-kyu.json,Kiai,Spirit shout,terminology.sections.general-terms-content.terms.kiai
G00599,src/data/graduations/8th-kyu.json,Uchi,Inward,terminology.sections.training-content.terms.uchi
G00638,src/data/graduations/8th-kyu.nl.json,Kata,Stijlvorm (solovorm).,terminology.sections.training-content.terms.kata
G00640,src/data/graduations/8th-kyu.nl.json,Kiai,Schreeuw waarbij kracht wordt geconcentreerd (harmonie levenskracht en geest).,terminology.sections.general-terms-content.terms.kiai
G00642,src/data/graduations/8th-kyu.nl.json,Uchi,Naar binnen (binnenwaarts),terminology.sections.training-content.terms.uchi
src/data/graduations/5th-kyu.json,5th-kyu,base,Kyu,"Rank (colored belts, below black belt)",級,terminology.sections.ranks-content.terms.kyu,review-ambiguous-short-term,Applied after exact full-name terminology match review.
src/data/graduations/5th-kyu.nl.json,5th-kyu,nl,Kyu,"Rang (gekleurde banden, onder zwarte band)",級,terminology.sections.ranks-content.terms.kyu,review-ambiguous-short-term,Applied after exact full-name terminology match review.
src/data/graduations/6th-kyu.json,6th-kyu,base,Waza,Technique,技,terminology.sections.kata-terms-content.terms.waza,review-ambiguous-short-term,Applied after exact full-name terminology match review.
src/data/graduations/6th-kyu.nl.json,6th-kyu,nl,Waza,Techniek,技,terminology.sections.kata-terms-content.terms.waza,review-ambiguous-short-term,Applied after exact full-name terminology match review.
